timestamp,scenario,mode,repetition,seed,grid_size,duration,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions
2026-03-14T16:46:05.674Z,normal,traditional,1,20264518,4,120,32,2.5,47.7,0,18
2026-03-14T16:46:05.682Z,normal,ai,1,20264518,4,120,11.9,7.5,51.72,1.2,13
2026-03-14T16:46:05.693Z,normal,rl,1,20264518,4,120,18.9,6,57.68,0,14
2026-03-14T16:46:05.699Z,normal,traditional,2,20264615,4,120,18.5,1.5,38.4,0,19
2026-03-14T16:46:05.705Z,normal,ai,2,20264615,4,120,15.8,7.5,58.22,2.4,14
2026-03-14T16:46:05.709Z,normal,rl,2,20264615,4,120,18,4,45.66,0,17
2026-03-14T16:46:05.712Z,normal,traditional,3,20264712,4,120,12.4,4,39.35,9.6,16
2026-03-14T16:46:05.714Z,normal,ai,3,20264712,4,120,7.3,8.5,41.22,1.2,13
2026-03-14T16:46:05.716Z,normal,rl,3,20264712,4,120,20.5,3.5,49.46,1.2,20
2026-03-14T16:46:05.718Z,normal,traditional,4,20264809,4,120,19.7,4,51.59,0,15
2026-03-14T16:46:05.720Z,normal,ai,4,20264809,4,120,12.3,8,50.17,1.8,13
2026-03-14T16:46:05.722Z,normal,rl,4,20264809,4,120,16.9,8,61.14,0,15
2026-03-14T16:46:05.723Z,normal,traditional,5,20264906,4,120,37.1,2,46.97,15.6,18
2026-03-14T16:46:05.725Z,normal,ai,5,20264906,4,120,17.6,6,59.78,0,16
2026-03-14T16:46:05.727Z,normal,rl,5,20264906,4,120,13.2,9.5,64.6,42,13
2026-03-14T16:46:05.729Z,normal,traditional,6,20265003,4,120,23.5,5,56.5,0,17
2026-03-14T16:46:05.731Z,normal,ai,6,20265003,4,120,17.3,4,47.5,1.6,19
2026-03-14T16:46:05.732Z,normal,rl,6,20265003,4,120,13,8.5,66.98,0,14
2026-03-14T16:46:05.736Z,rush_hour,traditional,1,20364518,4,120,8.2,5.5,146.5,0,88
2026-03-14T16:46:05.741Z,rush_hour,ai,1,20364518,4,120,8.2,12,162.02,2.3,83
2026-03-14T16:46:05.746Z,rush_hour,rl,1,20364518,4,120,4.9,7.5,144.03,7.5,86
2026-03-14T16:46:05.750Z,rush_hour,traditional,2,20364615,4,120,10.4,4.5,148.79,0,90
2026-03-14T16:46:05.755Z,rush_hour,ai,2,20364615,4,120,4.4,9,143.22,1.6,84
2026-03-14T16:46:05.759Z,rush_hour,rl,2,20364615,4,120,4.7,12.5,148.36,10.7,83
2026-03-14T16:46:05.763Z,rush_hour,traditional,3,20364712,4,120,13.2,5,156.82,0,92
2026-03-14T16:46:05.767Z,rush_hour,ai,3,20364712,4,120,6.9,12,157.13,2,84
2026-03-14T16:46:05.772Z,rush_hour,rl,3,20364712,4,120,5.4,13.5,147.99,11.1,80
2026-03-14T16:46:05.776Z,rush_hour,traditional,4,20364809,4,120,6.3,6,143.39,2,87
2026-03-14T16:46:05.781Z,rush_hour,ai,4,20364809,4,120,6,13.5,157.01,2.1,82
2026-03-14T16:46:05.786Z,rush_hour,rl,4,20364809,4,120,9.4,12.5,160,4.4,83
2026-03-14T16:46:05.790Z,rush_hour,traditional,5,20364906,4,120,6.7,5.5,149.6,13.4,90
2026-03-14T16:46:05.793Z,rush_hour,ai,5,20364906,4,120,5.1,10,149.77,1.4,85
2026-03-14T16:46:05.797Z,rush_hour,rl,5,20364906,4,120,8.9,12,159.09,8.1,83
2026-03-14T16:46:05.801Z,rush_hour,traditional,6,20365003,4,120,2.2,5,141.21,0,90
2026-03-14T16:46:05.804Z,rush_hour,ai,6,20365003,4,120,6,9.5,156.85,1.8,88
2026-03-14T16:46:05.808Z,rush_hour,rl,6,20365003,4,120,10.3,9.5,162.61,14.3,88
2026-03-14T16:46:05.811Z,accident,traditional,1,20464518,4,120,67.6,0.5,48.85,0,27
2026-03-14T16:46:05.813Z,accident,ai,1,20464518,4,120,6.7,4,47.24,1.7,23
2026-03-14T16:46:05.816Z,accident,rl,1,20464518,4,120,8.4,5,60.78,4.7,23
2026-03-14T16:46:05.819Z,accident,traditional,2,20464615,4,120,27.6,2,60.43,0,24
2026-03-14T16:46:05.821Z,accident,ai,2,20464615,4,120,13.4,4.5,51.99,1.8,23
2026-03-14T16:46:05.823Z,accident,rl,2,20464615,4,120,14.2,3,54.04,13.3,25
2026-03-14T16:46:05.825Z,accident,traditional,3,20464712,4,120,28.9,1.5,49.34,10,25
2026-03-14T16:46:05.828Z,accident,ai,3,20464712,4,120,9.4,3,43.09,1.2,23
2026-03-14T16:46:05.829Z,accident,rl,3,20464712,4,120,17,2.5,50.82,25.8,25
2026-03-14T16:46:05.831Z,accident,traditional,4,20464809,4,120,2.5,1.5,37.79,0,24
2026-03-14T16:46:05.832Z,accident,ai,4,20464809,4,120,12.3,6.5,71.4,3.3,22
2026-03-14T16:46:05.834Z,accident,rl,4,20464809,4,120,4.5,2.5,43.31,0,26
2026-03-14T16:46:05.835Z,accident,traditional,5,20464906,4,120,22,0.5,41.94,0,26
2026-03-14T16:46:05.837Z,accident,ai,5,20464906,4,120,12.1,6.5,59.12,3.6,21
