campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-17T14-30-05-201Z,normal_rep_1,1,2026-03-17T14:30:01.793Z,normal,traditional,20260398,300,0.2,1,6,68,1.6,155.95,0,58,0,68,0,8,0,12,8,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_1,1,2026-03-17T14:30:01.825Z,normal,ai,20260398,300,0.2,1,6,28.9,5.8,234.91,2.9,47,0,32.1,39.2,20,5,13,29,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_2,2,2026-03-17T14:30:01.841Z,normal,traditional,20260495,300,0.2,1,6,78.6,2.6,271.84,0,57,0,77.8,81,10,3,9,13,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_2,2,2026-03-17T14:30:01.854Z,normal,ai,20260495,300,0.2,1,6,38.9,5,238.45,2.7,51,0,44.1,44.9,19,3,9,25,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_3,3,2026-03-17T14:30:01.867Z,normal,traditional,20260592,300,0.2,1,6,68.2,1.8,171.55,0,59,0,74.7,16.4,8,1,9,9,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_3,3,2026-03-17T14:30:01.879Z,normal,ai,20260592,300,0.2,1,6,31.6,4.4,235.24,3.3,51,0,34.1,42.2,13,6,12,22,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_4,4,2026-03-17T14:30:01.890Z,normal,traditional,20260689,300,0.2,1,6,68.8,3,290.42,0,55,0,71.5,63.4,10,5,11,15,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_4,4,2026-03-17T14:30:01.902Z,normal,ai,20260689,300,0.2,1,6,30.4,5,184.3,2.8,48,0,38,38.4,19,1,15,25,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_5,5,2026-03-17T14:30:01.913Z,normal,traditional,20260786,300,0.2,1,6,36.3,2.8,155.36,31.9,55,0,38.3,0,11,0,12,14,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_5,5,2026-03-17T14:30:01.927Z,normal,ai,20260786,300,0.2,1,6,21.9,6.8,206.22,2.6,45,1,28.2,25.1,22,5,12,34,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_6,6,2026-03-17T14:30:01.943Z,normal,traditional,20260883,300,0.2,1,6,79.7,2,229.39,0,57,0,76.6,91.9,8,2,12,10,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_6,6,2026-03-17T14:30:01.954Z,normal,ai,20260883,300,0.2,1,6,29.5,3.4,167.88,2.4,54,0,33.4,22.8,13,3,11,17,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_7,7,2026-03-17T14:30:01.967Z,normal,traditional,20260980,300,0.2,1,6,70.4,2.2,223.93,0,57,0,67.3,84.6,9,2,11,11,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_7,7,2026-03-17T14:30:01.978Z,normal,ai,20260980,300,0.2,1,6,26.5,5.6,213.55,3.9,49,0,31.5,20.4,19,7,10,28,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_8,8,2026-03-17T14:30:01.992Z,normal,traditional,20261077,300,0.2,1,6,65,1.8,187.64,43,58,0,63.5,99.6,7,1,11,9,300
campaign_2026-03-17T14-30-05-201Z,normal_rep_8,8,2026-03-17T14:30:02.005Z,normal,ai,20261077,300,0.2,1,6,35.2,4.8,274.35,2.7,51,0,38.6,68.6,13,5,10,24,300
